system:index,b1,b2,b3,.geo
245,199,191,35,"{""type"":""Point"",""coordinates"":[20.46035457543239,44.79552634650268]}"
246,130,177,64,"{""type"":""Point"",""coordinates"":[20.50136865560828,44.7837852692335]}"
247,36,136,143,"{""type"":""Point"",""coordinates"":[20.47976631255428,44.8650474352621]}"
248,53,97,142,"{""type"":""Point"",""coordinates"":[20.464815711648892,44.74282811825163]}"
249,150,216,67,"{""type"":""Point"",""coordinates"":[20.36604149464206,44.8269037198904]}"
250,31,153,138,"{""type"":""Point"",""coordinates"":[20.290152615860023,44.78378409189282]}"
251,36,135,141,"{""type"":""Point"",""coordinates"":[20.502358964817127,44.87510819104774]}"
252,36,135,140,"{""type"":""Point"",""coordinates"":[20.448613785172554,44.8543680908356]}"
253,159,152,11,"{""type"":""Point"",""coordinates"":[20.35408324886321,44.806483168430155]}"
254,69,1,84,"{""type"":""Point"",""coordinates"":[20.565686958412645,44.84568626232329]}"
255,82,184,101,"{""type"":""Point"",""coordinates"":[20.3210948846687,44.86229449172649]}"
256,224,242,197,"{""type"":""Point"",""coordinates"":[20.375124518222698,44.885503967677955]}"
257,0,0,0,"{""type"":""Point"",""coordinates"":[20.572853459085742,44.81896614529071]}"
258,223,210,40,"{""type"":""Point"",""coordinates"":[20.46211178509924,44.79810969394012]}"
259,36,135,141,"{""type"":""Point"",""coordinates"":[20.301391760640893,44.826608199735375]}"
260,176,210,37,"{""type"":""Point"",""coordinates"":[20.359831804222964,44.80081223458546]}"
261,40,129,144,"{""type"":""Point"",""coordinates"":[20.39038586082925,44.756384721745114]}"
262,225,215,30,"{""type"":""Point"",""coordinates"":[20.46144621828967,44.872787160030036]}"
263,36,135,141,"{""type"":""Point"",""coordinates"":[20.279019525230005,44.88165047986474]}"
264,37,135,143,"{""type"":""Point"",""coordinates"":[20.354074876910207,44.7465979169679]}"
265,46,115,143,"{""type"":""Point"",""coordinates"":[20.429845634093056,44.85512848577384]}"
266,45,158,135,"{""type"":""Point"",""coordinates"":[20.533547940365754,44.74229335383507]}"
